,season,round,raceName,circuitId,circuitName,lat,long,locality,country,date,sprint,url
630,1999,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,1999-03-07,,http://en.wikipedia.org/wiki/1999_Australian_Grand_Prix
631,1999,2,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,1999-04-11,,http://en.wikipedia.org/wiki/1999_Brazilian_Grand_Prix
632,1999,3,San Marino Grand Prix,imola,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,1999-05-02,,http://en.wikipedia.org/wiki/1999_San_Marino_Grand_Prix
633,1999,4,Monaco Grand Prix,monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,1999-05-16,,http://en.wikipedia.org/wiki/1999_Monaco_Grand_Prix
634,1999,5,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,1999-05-30,,http://en.wikipedia.org/wiki/1999_Spanish_Grand_Prix
635,1999,6,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,1999-06-13,,http://en.wikipedia.org/wiki/1999_Canadian_Grand_Prix
636,1999,7,French Grand Prix,magny_cours,Circuit de Nevers Magny-Cours,46.8642,3.16361,Magny Cours,France,1999-06-27,,http://en.wikipedia.org/wiki/1999_French_Grand_Prix
637,1999,8,British Grand Prix,silverstone,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,1999-07-11,,http://en.wikipedia.org/wiki/1999_British_Grand_Prix
638,1999,9,Austrian Grand Prix,red_bull_ring,Red Bull Ring,47.2197,14.7647,Spielberg,Austria,1999-07-25,,http://en.wikipedia.org/wiki/1999_Austrian_Grand_Prix
639,1999,10,German Grand Prix,hockenheimring,Hockenheimring,49.3278,8.56583,Hockenheim,Germany,1999-08-01,,http://en.wikipedia.org/wiki/1999_German_Grand_Prix
