,season,constructorId,name,nationality
737,1991,ligier,Ligier,French
738,1991,lola,Lola,British
739,1991,mclaren,McLaren,British
740,1991,minardi,Minardi,Italian
741,1991,team_lotus,Team Lotus,British
742,1991,tyrrell,Tyrrell,British
743,1991,williams,Williams,British
744,1992,moda,Andrea Moda,Italian
745,1992,benetton,Benetton,Italian
746,1992,brabham,Brabham,British
747,1992,dallara,Dallara,Italian
748,1992,ferrari,Ferrari,Italian
749,1992,fondmetal,Fondmetal,Italian
750,1992,footwork,Footwork,British
751,1992,jordan,Jordan,Irish
752,1992,larrousse,Larrousse,French
753,1992,ligier,Ligier,French
754,1992,march,March,British
755,1992,mclaren,McLaren,British
756,1992,minardi,Minardi,Italian
757,1992,team_lotus,Team Lotus,British
758,1992,tyrrell,Tyrrell,British
759,1992,williams,Williams,British
760,1993,benetton,Benetton,Italian
761,1993,ferrari,Ferrari,Italian
762,1993,footwork,Footwork,British
763,1993,jordan,Jordan,Irish
